Customer,Amount
Alice,100
Bob,100
Alice,100
Bob,40
Charlie,100
Diana,250
Diana,150
Eve,300
Frank,80
Frank,120
Frank,200
Ryan Davis,150
Elizabeth Martin,80
Elizabeth Martin,500
David Turner,50
David Turner,50
David Turner,80
David Turner,120
Barbara Nelson,50
Barbara Nelson,500
Barbara Nelson,120
Barbara Nelson,500
Barbara Nelson,250
Barbara Scott,150
Barbara Scott,50
Barbara Scott,100
Barbara Scott,250
Barbara Scott,200
Jessica Anderson,200
Jessica Anderson,80
David Allen,200
Laura Walker,150
Laura Walker,50
Laura Walker,300
Laura Walker,500
Laura Walker,80
Angela Allen,500
Sarah Parker,200
Sarah Parker,120
Sarah Parker,80
Sarah Parker,50
Sarah Parker,120
Gary Harris,120
Sarah Miller,150
Sarah Miller,300
Sarah Miller,200
Sarah Miller,100
Mark Walker,150
Mark Walker,80
Emily Parker,500
Emily Parker,120
Mary Green,150
Mary Green,500
Mary Green,120
Mary Green,200
Michelle Cook,120
Sharon Williams,250
Sharon Williams,150
Sharon Williams,80
Linda Roberts,120
Linda Roberts,300
Linda Roberts,250
Cynthia Evans,100
Cynthia Evans,150
Cynthia Evans,100
Cynthia Evans,120
Jason Perez,150
Jason Perez,250
Jason Perez,250
Jason Perez,200
Jason Perez,120
Thomas Nelson,80
Thomas Nelson,50
Thomas Nelson,80
Thomas Nelson,100
Ryan Taylor,80
Ryan Taylor,250
Ryan Taylor,250
Ryan Taylor,300
Margaret Thompson,50
Margaret Thompson,80
Margaret Thompson,500
Margaret Thompson,150
Margaret Thompson,200
Joseph Harris,100
Joseph Harris,300
Joseph Harris,50
Joseph Harris,150
Betty Reed,500
Betty Reed,80
Karen Parker,120
Karen Parker,100
Karen Parker,200
Karen Parker,100
Karen Parker,500
Gary Carter,200
Lisa Johnson,200
Cynthia Clark,50
Cynthia Clark,120
Cynthia Roberts,80
Edward Adams,500
Gary Wilson,300
Gary Wilson,500
Mary Thompson,250
Mary Thompson,120
Mary Thompson,500
Mary Thompson,120
Mary Thompson,150
Steven Edwards,300
Steven Edwards,500
Steven Edwards,300
Joseph Lee,80
Joseph Lee,200
John Turner,120
John Turner,120
